Value,Index
0.3108655512332916,50
0.2902786135673523,440
0.23753653466701508,49463
0.22816838324069977,3216
0.20923402905464172,116
0.20753200352191925,1948
0.18273401260375977,21402
0.17980408668518066,864
0.17086711525917053,35
0.16748739778995514,75
0.1630537509918213,4236
0.16194990277290344,2
0.15843823552131653,25522
0.15412819385528564,100
0.1458086520433426,24303
0.13861419260501862,45152
0.1378408521413803,42803
0.1360587775707245,399
0.12956279516220093,11380
0.12918531894683838,794
0.1286824345588684,24904
0.12815149128437042,143
0.12516020238399506,367
0.12490583956241608,24
0.12370013445615768,21
0.1236686110496521,15647
0.12307420372962952,304
0.12265756726264954,10
0.1212930828332901,25234
0.12040674686431885,10361
0.12001264840364456,72
0.1199646145105362,8631
0.11948185414075851,170
0.11858554929494858,6
0.11817438900470734,5705
0.11565260589122772,463
0.11543924361467361,2758
0.115378238260746,22
0.11503715813159943,129
0.11491280794143677,166
0.11487580835819244,47
0.11394393444061279,11248
0.1138618215918541,5
0.1121741533279419,101
0.11181176453828812,939
0.11176519840955734,597
0.11145050823688507,584
0.11111831665039062,259
0.11057274043560028,8
0.11005455255508423,214
0.10989796370267868,14
0.109225332736969,45
0.10913649201393127,58
0.10889432579278946,1213
0.10837008059024811,70
0.10794463008642197,8275
0.10781820863485336,28797
0.10749110579490662,9
0.10712286084890366,103
0.10710486769676208,16
0.10686596482992172,12
0.10685847699642181,35524
0.1054108738899231,4133
0.10528521984815598,2682
0.10471144318580627,41318
0.10348545759916306,1437
0.10271193087100983,13
0.1022791713476181,89
0.10175282508134842,4069
0.10151748359203339,19570
0.101099893450737,3831
0.10068763792514801,4489
0.10057645291090012,796
0.10023187845945358,218
0.09963974356651306,2509
0.09961292892694473,762
0.09946151077747345,2652
0.09938722848892212,36
0.09901978075504303,2709
0.09841778874397278,1045
0.09818214923143387,216
0.097885861992836,117
0.097786545753479,30
0.09758748859167099,95
0.0974009558558464,1027
0.09735739976167679,7797
0.09678386896848679,12571
0.09629252552986145,258
0.09625888615846634,11019
0.09616294503211975,9704
0.09605760872364044,108
0.09541094303131104,1395
0.09493040293455124,460
0.09475252777338028,8491
0.0946732833981514,687
0.09461536258459091,743
0.094245545566082,1246
0.09368620812892914,41
0.09268885105848312,3934
0.09248852729797363,752
0.09185655415058136,2425
0.09155506640672684,1236
0.09149327129125595,7
0.09119238704442978,15233
0.09113836288452148,133
0.091059111058712,147
0.09062512964010239,18
0.09051404893398285,43
0.08978185057640076,11
0.08965933322906494,1531
0.08926086872816086,1737
0.08919568359851837,20218
0.08911657333374023,57
0.0890895277261734,269
0.08895418047904968,818
0.0888328105211258,53
0.08865831792354584,4389
0.08833859115839005,19
0.08809251338243484,192
0.08772721141576767,372
0.08732222765684128,17978
0.08642039448022842,11040
0.08629049360752106,12948
0.08602534979581833,3991
0.08592616021633148,34
0.08583160489797592,2282
0.08573222905397415,22108
0.08532436192035675,712
0.08517453074455261,183
0.08508916199207306,1674
0.08492599427700043,2629
0.08480454981327057,4396
0.08459741622209549,4
0.08458992838859558,12657
0.08398666977882385,51
0.08379681408405304,31
0.08352523297071457,2650
0.08347068727016449,17769
0.08335378021001816,970
0.08301865309476852,1146
0.08249125629663467,406
0.08227701485157013,1462
0.08226265013217926,5331
0.0820322185754776,19847
0.08192984014749527,37784
0.08181431889533997,3972
0.08170303702354431,220
0.0816001370549202,2343
0.08129527419805527,3762
0.08106577396392822,1121
0.08096610009670258,8170
0.08095406740903854,22650
0.08031460642814636,37779
0.08029115200042725,169
0.08022133260965347,35643
